tradedate,ticker,price_last
2024-06-20,"PETR4       ",36.5
2024-06-21,"PETR4       ",36.72
2024-06-24,"PETR4       ",37.06
2024-06-25,"PETR4       ",37.03
2024-06-26,"PETR4       ",37.09
2024-06-27,"PETR4       ",37.71
2024-06-28,"PETR4       ",38.05
2024-07-01,"PETR4       ",38.63
2024-07-02,"PETR4       ",38.51
2024-07-03,"PETR4       ",37.84
2024-07-04,"PETR4       ",37.32
2024-07-05,"PETR4       ",37.52
2024-07-08,"PETR4       ",38.44
2024-07-09,"PETR4       ",38.43
2024-07-10,"PETR4       ",38.07
2024-07-11,"PETR4       ",38.33
2024-07-12,"PETR4       ",38.15
2024-07-15,"PETR4       ",38.5
2024-07-16,"PETR4       ",38.4
2024-07-17,"PETR4       ",38.6
2024-07-18,"PETR4       ",38.53
2024-07-19,"PETR4       ",38.69
2024-07-22,"PETR4       ",37.92
2024-07-23,"PETR4       ",37.43
2024-07-24,"PETR4       ",37.73
2024-07-25,"PETR4       ",37.68
2024-07-26,"PETR4       ",37.64
2024-07-29,"PETR4       ",36.88
2024-07-30,"PETR4       ",36.65
2024-07-31,"PETR4       ",37.41
2024-08-01,"PETR4       ",36.84
2024-08-02,"PETR4       ",35.73
2024-08-05,"PETR4       ",35.7
2024-08-06,"PETR4       ",36.32
2024-08-07,"PETR4       ",36.27
2024-08-08,"PETR4       ",36.85
2024-08-09,"PETR4       ",36.51
2024-08-12,"PETR4       ",37.34
2024-08-13,"PETR4       ",37.11
2024-08-14,"PETR4       ",37.76
2024-08-15,"PETR4       ",38.34
2024-08-16,"PETR4       ",38.5
2024-08-19,"PETR4       ",38.44
2024-08-20,"PETR4       ",38.29
2024-08-21,"PETR4       ",38.06
2024-08-22,"PETR4       ",37.12
2024-08-23,"PETR4       ",36.89
2024-08-26,"PETR4       ",39.57
2024-08-27,"PETR4       ",39.04
2024-08-28,"PETR4       ",39.6
2024-08-29,"PETR4       ",39.33
2024-08-30,"PETR4       ",39.37
2024-09-02,"PETR4       ",39
2024-09-03,"PETR4       ",38.53
2024-09-04,"PETR4       ",38.54
2024-09-05,"PETR4       ",38.3
2024-09-06,"PETR4       ",37.55
2024-09-09,"PETR4       ",37.96
2024-09-10,"PETR4       ",37.33
2024-09-11,"PETR4       ",37.29
2024-09-12,"PETR4       ",36.87
2024-09-13,"PETR4       ",36.7
2024-09-16,"PETR4       ",37.21
2024-09-17,"PETR4       ",37.04
2024-09-18,"PETR4       ",36.15
2024-09-19,"PETR4       ",36.27
2024-09-20,"PETR4       ",36.26
2024-09-23,"PETR4       ",36.63
2024-09-24,"PETR4       ",36.78
2024-09-25,"PETR4       ",37.05
2024-09-26,"PETR4       ",36.25
2024-09-27,"PETR4       ",36.11
2024-09-30,"PETR4       ",36.01
2024-10-01,"PETR4       ",36.97
2024-10-02,"PETR4       ",37.48
2024-10-03,"PETR4       ",37.94
2024-10-04,"PETR4       ",37.84
2024-10-07,"PETR4       ",38.37
2024-10-08,"PETR4       ",37.6
2024-10-09,"PETR4       ",37.22
2024-10-10,"PETR4       ",37.65
2024-10-11,"PETR4       ",37.62
2024-10-14,"PETR4       ",37.71
2024-10-15,"PETR4       ",37.4
2024-10-16,"PETR4       ",37.21
2024-10-17,"PETR4       ",36.93
2024-10-18,"PETR4       ",36.83
2024-10-21,"PETR4       ",36.25
2024-10-22,"PETR4       ",36.11
2024-10-23,"PETR4       ",35.66
2024-10-24,"PETR4       ",35.9
2024-10-25,"PETR4       ",36.15
2024-10-28,"PETR4       ",36.09
2024-10-29,"PETR4       ",36.01
2024-10-30,"PETR4       ",35.85
2024-10-31,"PETR4       ",35.91
2024-11-01,"PETR4       ",35.42
2024-11-04,"PETR4       ",35.5
2024-11-05,"PETR4       ",35.39
2024-11-06,"PETR4       ",35.4
2024-11-07,"PETR4       ",35.51
2024-11-08,"PETR4       ",36.18
2024-11-11,"PETR4       ",36.25
2024-11-12,"PETR4       ",36.93
2024-11-13,"PETR4       ",36.88
2024-11-14,"PETR4       ",37.27
2024-11-18,"PETR4       ",38.2
2024-11-19,"PETR4       ",37.8
2024-11-21,"PETR4       ",37.91
2024-11-22,"PETR4       ",39.42
2024-11-25,"PETR4       ",39.18
2024-11-26,"PETR4       ",39.13
2024-11-27,"PETR4       ",38.99
2024-11-28,"PETR4       ",38.59
2024-11-29,"PETR4       ",38.9
2024-12-02,"PETR4       ",39.15
2024-12-03,"PETR4       ",39.5
2024-12-04,"PETR4       ",39.25
2024-12-05,"PETR4       ",39.64
2024-12-06,"PETR4       ",39.03
2024-12-09,"PETR4       ",40.04
2024-12-10,"PETR4       ",40.19
2024-12-11,"PETR4       ",40.59
2024-12-12,"PETR4       ",38.34
2024-12-13,"PETR4       ",38.1
2024-12-16,"PETR4       ",37.94
2024-12-17,"PETR4       ",38.3
2024-12-18,"PETR4       ",37.31
2024-12-19,"PETR4       ",37.16
2024-12-20,"PETR4       ",36.85
2024-12-23,"PETR4       ",36.86
2024-12-26,"PETR4       ",35.77
2024-12-27,"PETR4       ",35.66
2024-12-30,"PETR4       ",36.19
2025-01-02,"PETR4       ",36.77
2025-01-03,"PETR4       ",36.38
2025-01-06,"PETR4       ",36.21
2025-01-07,"PETR4       ",36.98
2025-01-08,"PETR4       ",36.68
2025-01-09,"PETR4       ",36.84
2025-01-10,"PETR4       ",36.94
2025-01-13,"PETR4       ",37.07
2025-01-14,"PETR4       ",36.82
2025-01-15,"PETR4       ",37.29
2025-01-16,"PETR4       ",37.05
2025-01-17,"PETR4       ",37.2
2025-01-20,"PETR4       ",37.29
2025-01-21,"PETR4       ",37.3
2025-01-22,"PETR4       ",37.09
2025-01-23,"PETR4       ",36.83
2025-01-24,"PETR4       ",36.64
2025-01-27,"PETR4       ",37.18
2025-01-28,"PETR4       ",37.13
2025-01-29,"PETR4       ",36.9
2025-01-30,"PETR4       ",37.39
2025-01-31,"PETR4       ",37.69
2025-02-03,"PETR4       ",37.5
2025-02-04,"PETR4       ",37.13
2025-02-05,"PETR4       ",36.86
2025-02-06,"PETR4       ",36.79
2025-02-07,"PETR4       ",36.58
2025-02-10,"PETR4       ",36.83
2025-02-11,"PETR4       ",36.83
2025-02-12,"PETR4       ",36.28
2025-02-13,"PETR4       ",36.32
2025-02-14,"PETR4       ",37.44
2025-02-17,"PETR4       ",37.67
2025-02-18,"PETR4       ",38.36
2025-02-19,"PETR4       ",38.44
2025-02-20,"PETR4       ",38.5
2025-02-21,"PETR4       ",38.39
2025-02-24,"PETR4       ",38.12
2025-02-25,"PETR4       ",37.95
2025-02-26,"PETR4       ",37.95
2025-02-27,"PETR4       ",36.61
2025-02-28,"PETR4       ",35.93
2025-03-05,"PETR4       ",34.62
